Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
04/26/2026,04/26/2026,04/27/2026,BLBU,BLBU 5/1/2026 Call $40.00,STC,1,$2.40,$240.00
04/26/2026,04/26/2026,04/27/2026,BLBU,BLBU 5/1/2026 Put $20.00,STC,3,$0.20,$60.00
04/26/2026,04/26/2026,04/27/2026,CRYS,CRYS 5/1/2026 Call $115.00,STC,2,$1.50,$300.00
04/26/2026,04/26/2026,04/27/2026,DRMS,DRMS 5/1/2026 Call $85.00,STC,2,$2.20,$440.00
04/25/2026,04/25/2026,04/26/2026,BUBS,BUBS 5/1/2026 Call $65.00,STC,1,$2.40,$240.00
04/25/2026,04/25/2026,04/26/2026,FLZS,FLZS 5/1/2026 Call $220.00,STC,2,$5.80,"$1,160.00"
04/24/2026,04/24/2026,04/25/2026,BLBU,BLBU 5/1/2026 Call $40.00,BTO,1,$1.40,($140.00)
04/24/2026,04/24/2026,04/25/2026,BLBU,BLBU 5/1/2026 Put $20.00,BTO,3,$0.30,($90.00)
04/24/2026,04/24/2026,04/25/2026,BUBS,BUBS 5/1/2026 Call $65.00,BTO,1,$2.00,($200.00)
04/24/2026,04/24/2026,04/25/2026,CRYS,CRYS 5/1/2026 Call $115.00,BTO,2,$2.00,($400.00)
04/24/2026,04/24/2026,04/25/2026,DRMS,DRMS 5/1/2026 Call $85.00,BTO,2,$1.80,($360.00)
04/24/2026,04/24/2026,04/25/2026,FLZS,FLZS 5/1/2026 Call $220.00,BTO,2,$5.00,"($1,000.00)"
04/23/2026,04/23/2026,04/24/2026,BLBU,BLBU 4/24/2026 Put $25.00,STC,2,$0.80,$160.00
04/23/2026,04/23/2026,04/24/2026,BUBS,BUBS 4/24/2026 Put $50.00,STC,2,$1.55,$310.00
04/23/2026,04/23/2026,04/24/2026,CRYS,CRYS 4/24/2026 Put $100.00,STC,2,$1.95,$390.00
04/23/2026,04/23/2026,04/24/2026,DRMS,DRMS 4/24/2026 Call $80.00,STC,6,$2.50,"$1,500.00"
04/23/2026,04/23/2026,04/24/2026,FLZS,FLZS 4/24/2026 Call $210.00,STC,3,$5.20,"$1,560.00"
04/22/2026,04/22/2026,04/23/2026,BLBU,BLBU 4/24/2026 Call $35.00,STC,4,$1.50,$600.00
04/22/2026,04/22/2026,04/23/2026,BUBS,BUBS 4/24/2026 Call $60.00,STC,1,$4.20,$420.00
04/22/2026,04/22/2026,04/23/2026,CRYS,CRYS 4/24/2026 Call $110.00,STC,3,$2.30,$690.00
04/22/2026,04/22/2026,04/23/2026,DRMS,DRMS 4/24/2026 Put $72.00,STC,3,$1.45,$435.00
04/22/2026,04/22/2026,04/23/2026,FLZS,FLZS 4/24/2026 Put $200.00,STC,2,$3.40,$680.00
04/17/2026,04/17/2026,04/18/2026,BLBU,BLBU 4/24/2026 Put $25.00,BTO,2,$0.55,($110.00)
04/17/2026,04/17/2026,04/18/2026,BUBS,BUBS 4/24/2026 Put $50.00,BTO,2,$1.20,($240.00)
04/17/2026,04/17/2026,04/18/2026,CRYS,CRYS 4/24/2026 Put $100.00,BTO,2,$1.50,($300.00)
04/17/2026,04/17/2026,04/18/2026,DRMS,DRMS 4/24/2026 Put $72.00,BTO,3,$1.10,($330.00)
04/17/2026,04/17/2026,04/18/2026,FLZS,FLZS 4/24/2026 Put $200.00,BTO,2,$2.80,($560.00)
04/16/2026,04/16/2026,04/17/2026,BLBU,BLBU 4/17/2026 Put $25.00,STC,1,$0.30,$30.00
04/16/2026,04/16/2026,04/17/2026,BUBS,BUBS 4/17/2026 Call $55.00,STC,5,$1.80,$900.00
04/16/2026,04/16/2026,04/17/2026,CRYS,CRYS 4/17/2026 Put $95.00,STC,4,$1.50,$600.00
04/16/2026,04/16/2026,04/17/2026,DRMS,DRMS 4/17/2026 Put $70.00,STC,3,$1.90,$570.00
04/16/2026,04/16/2026,04/17/2026,FLZS,FLZS 4/17/2026 Put $195.00,STC,4,$4.10,"$1,640.00"
04/15/2026,04/15/2026,04/16/2026,BLBU,BLBU 4/17/2026 Call $30.00,STC,2,$2.10,$420.00
04/15/2026,04/15/2026,04/16/2026,CRYS,CRYS 4/17/2026 Call $105.00,STC,5,$1.40,$700.00
